experimento,arquivo_tsp,melhor_distancia,tempo_execucao_s,geracoes_executadas,n_individuos,max_geracoes,taxa_mutacao,paciencia_convergencia,inicializacao,crossover,mutacao,criterio_parada
crossover,tsp_8.csv,183.1568039829033,1.1716413497924805,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
crossover,tsp_8.csv,184.20465971761539,1.037966251373291,500,100,500,0.05,50,aleatoria,pmx,inversao,geracoes
mutacao,tsp_8.csv,189.70267370715482,1.1783270835876465,500,100,500,0.05,50,aleatoria,ordenado,troca,geracoes
mutacao,tsp_8.csv,182.26521395319938,1.18937087059021,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_8.csv,184.2046597176154,1.1890223026275635,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_8.csv,185.26432046192195,0.27747321128845215,118,100,500,0.05,50,aleatoria,ordenado,inversao,convergencia
taxa_mutacao,tsp_9.csv,278.61657531448986,1.2852416038513184,500,100,500,0.01,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_9.csv,242.6737139156113,1.307013750076294,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_9.csv,245.56843382595594,1.334791898727417,500,100,500,0.15,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_9.csv,253.6987159051289,1.3231189250946045,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_9.csv,242.67371391561133,1.3268089294433594,500,100,500,0.05,50,heuristica,ordenado,inversao,geracoes
crossover,tsp_9.csv,251.88333472152672,1.3035821914672852,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
crossover,tsp_9.csv,248.1633376172222,1.1262245178222656,500,100,500,0.05,50,aleatoria,pmx,inversao,geracoes
mutacao,tsp_9.csv,261.4389909955094,1.328049659729004,500,100,500,0.05,50,aleatoria,ordenado,troca,geracoes
mutacao,tsp_9.csv,242.67371391561133,1.3133022785186768,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_9.csv,243.23473309028418,1.3236472606658936,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_9.csv,258.9828388839175,0.5103433132171631,195,100,500,0.05,50,aleatoria,ordenado,inversao,convergencia
taxa_mutacao,tsp_10.csv,287.2399243350889,1.426914930343628,500,100,500,0.01,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_10.csv,267.0574714479476,1.422020435333252,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_10.csv,275.67433321575237,1.4452924728393555,500,100,500,0.15,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_10.csv,275.9717298064407,1.4394111633300781,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_10.csv,268.72716640065494,1.4541294574737549,500,100,500,0.05,50,heuristica,ordenado,inversao,geracoes
crossover,tsp_10.csv,268.11351342781086,1.4428274631500244,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
crossover,tsp_10.csv,278.67650513246423,1.1554062366485596,500,100,500,0.05,50,aleatoria,pmx,inversao,geracoes
mutacao,tsp_10.csv,315.1269975264401,1.454655647277832,500,100,500,0.05,50,aleatoria,ordenado,troca,geracoes
mutacao,tsp_10.csv,274.46973521960996,1.4598281383514404,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_10.csv,274.71044996466435,1.4646012783050537,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_10.csv,266.1423188201253,0.7923531532287598,275,100,500,0.05,50,aleatoria,ordenado,inversao,convergencia
